zpid,description_length,waterfront_linear_ft,dock_linear_ft,no_fixed_bridges,waterfront_type,any_length
337066205,Dock Length: 100,,100,FALSE,bay; gulf; sound; waterfront,100
337066265,lot with 75 feet of waterfront,75,,FALSE,bay; ocean; canal; waterfront,75
337874997,no fixed bridges,,,TRUE,intracoastal; bay; ocean; canal; waterfront,
338257015,Enjoy 80 feet of direct,,,FALSE,ocean; river; canal; waterfront,
338257236,,,,FALSE,,
338257237,,,,FALSE,river,
338257287,location spanning 50 feet offers gorgeous,,,FALSE,bay; waterfront,
338257295,,,,FALSE,,
338257313,Canal Width 121 Feet Or More,,,TRUE,ocean; canal; waterfront,
338629623,Dramatic 20 feet floor to,,,FALSE,ocean,
338629790,masterpiece boasts 85 feet of prime,,,TRUE,intracoastal; ocean; waterfront,
338629854,,,,FALSE,,
338630024,,,,FALSE,,
338630030,,,,FALSE,ocean,
338630041,,,,FALSE,river,
338643490,,,,FALSE,sound; waterfront,
338729404,,,,FALSE,ocean; canal; waterfront,
338729681,Dock Length: 55,,55,FALSE,canal; waterfront,55
338729786,,,,FALSE,canal; waterfront,
338729832,,,,FALSE,bay; gulf; waterfront,
338729884,,,,FALSE,bay; canal; waterfront,
338729932,Dock Length: 60,,60,FALSE,bay; ocean; canal; gulf; waterfront,60
338740640,sunsets from 103 feet of waterfrontage,,,FALSE,bay; waterfront,
339837084,Dock Length: 80,,80,FALSE,ocean; canal; waterfront,80
339888465,,,,FALSE,river,
341882065,400 ft,,,FALSE,bay; waterfront,
342996466,,,,FALSE,,
344100274,,,,FALSE,ocean; canal; gulf; waterfront,
344729552,Dock Length: 80,,80,FALSE,bay; canal; waterfront,80
345428123,,,,FALSE,intracoastal; ocean,
346426739,,,,FALSE,waterfront,
347797859,,,,FALSE,waterfront,
347821837,Elevated 15 feet to meet,,,FALSE,ocean; gulf; waterfront,
348274143,,,,FALSE,ocean,
348531479,,,,FALSE,,
348928637,,,,FALSE,,
349440070,,,,FALSE,ocean,
349830013,no fixed bridges,,,TRUE,intracoastal; ocean; canal; lake,
349852252,,,,FALSE,ocean,
350263641,,,,FALSE,,
350883551,Canal Width 121 Feet Or More,,,FALSE,intracoastal; ocean; canal,
351951527,,,,FALSE,bay; gulf; waterfront,
352124983,,,,FALSE,,
352483257,,,,FALSE,,
352516438,,,,FALSE,ocean; gulf; waterfront,
353739474,,,,FALSE,ocean,
359220376,Dock Length: 218,,218,FALSE,bay; gulf; waterfront,218
394672175,,,,FALSE,,
401795529,ONE BEING 53 FT LONG,,,TRUE,ocean; canal; waterfront,
402063048,the early 70',,,FALSE,bay; gulf; waterfront,
439156522,120 Feet,,,TRUE,ocean; canal; waterfront,
439884276,,,,FALSE,ocean; waterfront,
439898038,,,,FALSE,lake; waterfront,
439924011,Dock Length: 108,,108,FALSE,intracoastal; bay; ocean; gulf; waterfront,108
439925142,Dock Length: 50,,50,FALSE,canal; waterfront,50
440014173,This 60' slip is perfectly,,60,FALSE,ocean,60
440015224,,,,FALSE,ocean; river,
440113217,Dock Length: 37,,37,FALSE,ocean; canal; waterfront,37
440113972,60 foot Concrete Dock,,60,FALSE,canal; waterfront,60
440116499,an additional 100' dock to be,,100,FALSE,bay; waterfront,100
440418273,,,,FALSE,intracoastal; ocean,
440975343,a spacious 250 ft turning basin,,,FALSE,bay; ocean; waterfront,
441139497,,,,FALSE,,
